ulasan,ulasan_bersih,skor_sentimen,label,sentimen
"Kualitas: bagus Cocok Untuk: boluu Nyampenya cepet, setelah dieksekusi hasilnya memuaskan, enak bgt bolunya, pas mateng langsung aku serbu sendiri sampe mau habis separonya.. makasih seller, next bakalan order lagi nih!! 0:18 26 t*****9",kualitas bagus cocok boluu nyampenya cepet eksekusi hasil muas enak bolu pas mateng langsung serbu sampe habis paro jual,35,1,Positif
"Jenis: tepung ketan hitam Harga: murah Kualitas: bagus Pertama kali beli tepung ini buat bikin bolu ketan pas lebaran nanti, keliatannya sih kualitas tepungnya bagus. Untuk packing rapih, pengiriman jg cepet, harga murah. Thanks eak👍 0:06 4 a*****2",jenis tepung ketan hitam harga murah kualitas bagus tepung bolu ketan pas lebaran liat kualitas tepung bagus kemas rapih kirim cepet harga murah eak,32,1,Positif
"Rasa: enak Tekstur: normal seperti tepung ketan pada umumnya Kegunaan: cocok untuk membuat kue Solusi jitu biar ga berebut tepung ketan hitam di pasar ya beli disini aja guys. Recomended, harga bersahabat, pengiriman cepat. Mantap, thanks 👍🙏 0:08 1 nienieng",enak tekstur normal tepung ketan guna cocok kue solusi jitu biar rebut tepung ketan hitam pasar guys recomended harga sahabat kirim cepat bagus nienieng,27,1,Positif
"Rasa: enak dibuat bolu Kegunaan: buat bolu ketan hitam ORI dan keju lumer Kualitas: baik Pake tepung ini hitamnya pekat dan legit bgt di buat bolu apalagi klo bolunya sudah suhu ruang. Terima kasih seller, sukses selalu usahanya 0:10 3 raiqa.hijab | Langganan",enak bolu guna bolu ketan hitam ori keju lembut kualitas pakai tepung hitam pekat legit bolu bolu suhu ruang jual sukses usaha raiqa hijab langgan,10,1,Positif
Jenis: tepung ketan hitam Harga: murah Kualitas: ok Yuk bantu UMKM kita maju dengan berbelanja di toko ini. Pengemasan sangat baik. Harga ramah di kantong. Kualitas Ok 0:13 4 m*****3,jenis tepung ketan hitam harga murah kualitas ok yuk bantu umkm maju belanja toko emas harga ramah kantong kualitas ok,36,1,Positif
"Kualitas: sangat baikkk sekali, enak poll dan bakal langganan terus ditoko ini 😍 Cocok Untuk: bolu kukus dan panggang 0:05 4 1 2 3 4 5 ...",kualitas baikkk enak poll langgan toko cocok bolu kukus panggang,15,1,Positif
Jenis: Tepung ketan hitam Harga: murah Kualitas: baik sekali terMANTUL lah pokoknya Next pasti order lagi la 0:05 2 3ra43w69o0,jenis tepung ketan hitam harga murah kualitas termantul pokok la rawo,9,1,Positif
Rasa: enak banget Tekstur: lembut Kegunaan: cocok buat kue Tepung nya asli bagus banget Enak Kentan hitam nya terasa banget Beda sama tepung yang ditoko toko yang merek….. Terima kasih toko amanah banget deh 0:04 1,enak tekstur lembut guna cocok kue tepung nya asli bagus enak kentan hitam nya beda tepung toko toko merek toko amanah,18,1,Positif
"Sudah dicoba buat bikin bolu ketan hitam dan enak, legit. Terima kasih seller 0:05 7 lianawatihasibuan582",coba bolu ketan hitam enak legit jual lianawatihasibuan,8,1,Positif
"Komposisinya 100% beras ketan hitam,alami dan produksi lokal indonesia 0:11 1 k*****i",komposisi beras ketan hitam alami produksi lokal indonesia,-7,0,Negatif
"Dbikin bolu ketan hitam hsilx bolu hitam pekat enk tektur kasar , d paking rapi 0:04 2 s*****u",dbikin bolu ketan hitam hsilx bolu hitam pekat enk tektur kasar paking rapi,-5,0,Negatif
"Cocok Untuk: bolu ketan hitam Kualitas tepungnya emang bagus, masih baru. Thanks 0:04 1 1 2 3 4 5 ...",cocok bolu ketan hitam kualitas tepung emang bagus,6,1,Positif
"Sudah dicoba buat bikin bolu ketan hitam dan enak, legit. Terima kasih seller 0:05 7",coba bolu ketan hitam enak legit jual,8,1,Positif
"sesuai pesanan, packing rapih dan aman, pengiriman cepet. terima kasih seller and shopee. 0:05 2 a*****i",sesuai kemas rapih aman kirim cepet jual and,11,1,Positif
Rasa: pas Kegunaan: pas Tekstur: pas Alhamdulillah paket sudah sampai penjualnya amanah gercep recomended terimakasih banyak ka 0:15 1,pas guna pas tekstur pas jual amanah cepat recomended terimakasih ka,24,1,Positif
Jenis: bahan buat bikin macam macam makanan Harga: murah Kualitas: sangat baik Pengemasan rapi barang sampai dengan sangat baik Toko nya sangat di anjurkan Terimakasih seller dan shopee 1:00 3 b*****i,jenis bahan makan harga murah kualitas emas rapi toko nya anjur terimakasih jual,15,1,Positif
Jenis: kue ketan Harga: suka banget Kualitas: enak banget suka Pengiriman super cepat 0:04 1 perawa1119,jenis kue ketan harga suka kualitas enak suka kirim super cepat awa,26,1,Positif
Jenis: tepung ketan hitam Harga: bagussss Kualitas: semoga bagus Terima kasih barang sudah diterima 0:04 1 d*****a,jenis tepung ketan hitam harga bagus kualitas bagus terima,9,1,Positif
"Rasa: lezatt Tekstur: lembut Kegunaan: cocok untuk kue Pengiriman cepat ya min, barang bagus tidak ada yang cacat sama sekali harganya juga tidak mahal. Toko amanah laris manis tanjung kimpul 0:05 1 1 2 3 4 5 6 ...",lezatt tekstur lembut guna cocok kue kirim cepat bagus cacat harga mahal toko amanah laris manis tanjung kimpul,21,1,Positif
Jenis: bahan buat bikin macam macam makanan Harga: murah Kualitas: sangat baik Pengemasan rapi barang sampai dengan sangat baik Toko nya sangat di anjurkan Terimakasih seller dan shopee 1:00 3,jenis bahan makan harga murah kualitas emas rapi toko nya anjur terimakasih jual,15,1,Positif
Jenis: tepung Harga: affordibel Kualitas: bagus Pengiriman top markotop 👍👍👍👍👍 0:18 1 naynaycucunyaabahhaji | Langganan,jenis tepung harga affordibel kualitas bagus kirim bagus markotop naynaycucunyaabahhaji langgan,15,1,Positif
Alhamdulillah paket dah sampai kualitas bagus kurir ramah pengirimanpun ceoat..thanks seller 1 mayhaikal,dah kualitas bagus ramah kirim ceoat jual mayhaikal,11,1,Positif
"Rasa: enak Tekstur: lumayan lembut Kegunaan: cocok untuk bolu Harganya murah, kualitas lumayan bagus dan bagus, nggak ngeres dimulut ketika dimakan , buat yg mau nyari tepung ketan hitam jgn ragu order disini, nex mo order lagi 0:04 2 z*****a",enak tekstur lumayan lembut guna cocok bolu harga murah kualitas lumayan bagus bagus ngeres mulut makan nyari tepung ketan hitam jgn ragu nex mo,17,1,Positif
Jenis: tepung Harga: 6ribuan Kualitas: blm dicoba Terima kasih paket dah sampe komplit ga ada yang kurang kl dah dicoba dan cocok beli lgi.. 0:05 1 riyadiugie,jenis tepung harga ribu kualitas coba dah sampe komplit dah coba cocok riyadiugie,9,1,Positif
"Tekstur: lembut Rasa: setelah dibikin roti enak tepungnya Rasakan: manisnya pas, sdh mencoba Pesanan kedua kalinya Recommended Pas pesan pertama dibikin roti puas banget sesuai ekspektasi 0:23",tekstur lembut bikin roti enak tepung rasa manis pas coba kali rekomendasi pas pesan bikin roti puas sesuai ekspektasi,24,1,Positif
"Rasa: enak mantep Tekstur: berpasir tapi lembutt banget Kegunaan: bolu brownies dll Kalian yg mau cobaaa ketan hitam buat bolu dan brownies. Ini enak banged. Hitam hasilnya, rasane enak banget, apalagi berpasirnya lembut, jadi ga yg kasar. Wahh rekomended banget !",enak mantep tekstur pasir lembutt guna bolu brownies dll cobaaa ketan hitam bolu brownies enak banged hitam hasil rasane enak pasir lembut kasar wahh rekomendasi,11,1,Positif
Rasa: enak Tekstur: bagus Kegunaan: membuat kue viral Sudah yg ke dua belanja merk tepung ketan ini sangat enak & tekstur tidak berpasir spt tepung ketan biasa..laris manis 😍 0:05,enak tekstur bagus guna kue viral belanja merk tepung ketan enak tekstur pasir tepung ketan laris manis,20,1,Positif
Jenis: tepung ketan Harga: murah Kualitas: ok Tepung ketan nya sudah sampe ok makasih👍👍 0:04 1 ella150578,jenis tepung ketan harga murah kualitas ok tepung ketan nya sampe ok ella,18,1,Positif
"Jenis: bagus Harga: ok Kualitas: ok Alhamdulillah ketah hitamnya sudah datang, kualitasnya bagus, tidak mengecewakan, pokoknya top bgt...,.....? 0:06 2 lalaajj123",jenis bagus harga ok kualitas ok ketah hitam kualitas bagus kecewa pokok bagus lalaajj,24,1,Positif
Kualitas: bagus Jenis: keta hitam Harga: terjangkau Pengiriman cpt harga terjangkau sesuai dengan pesanan 1 tsaulah,kualitas bagus jenis keta hitam harga jangkau kirim cpt harga jangkau sesuai tsaulah,13,1,Positif
Jenis: tepung Harga: terjangkau Kualitas: smga bagus Alhamdulillah sudah di terima dg baik 0:07 1 i*****y,jenis tepung harga jangkau kualitas smga bagus,10,1,Positif
"Klo dilihat dari tekstur nya tepung ketannya kualitas bagus, tdk menggumpal, cuma di pengiriman agak lumayan lama, pas aku chat ke penjual krn kehabisan stok produksi. Mungkin krn tep ketan hitam akhir2 ini lg viral buat cake ketan hitam lumer. Smoga pas dicoba buat cake hasilnya bagus 1 1 2 3 4 5 6 7 ...",tekstur nya tepung ketan kualitas bagus tdk gumpal kirim lumayan pas chat jual habis stok produksi tep ketan hitam viral cake ketan hitam lembut smoga pas coba cake hasil bagus,18,1,Positif
Jenis: Tepung ketan Harga: Murah Kualitas: Bagus Barang sudah sampai..Pesenan ku yang ke 2× nya.. Sukses terus buat tokonya🙏 0:08 3 binbul3026,jenis tepung ketan harga murah kualitas bagus sen ku nya sukses toko binbul,15,1,Positif
Tekstur: suka karena teksturnya tidak berpasir Rasa: enak & manis tidak dicampur2 original ketan hitam Rasakan: manis gurih Saya pakai tepung ini buat jualan kalo ada pesanan2 . Trima kasih seller dikirim dgn aman sampai tempat 0:05,tekstur suka tekstur pasir enak manis campur original ketan hitam rasa manis gurih pakai tepung jual kalo trima jual kirim aman,23,1,Positif
"Cocok Untuk: bolu dan kue Kualitas: bagus Sudah dipakai membuat bolu dan hasilnya bagus, pengemasan jg baik pakai bublewrap 👍 0:05 1 augustien8",cocok bolu kue kualitas bagus pakai bolu hasil bagus emas pakai bublewrap augustien,15,1,Positif
"Rasa: ketan hitam Tekstur: lembut Kegunaan: bahan dasar kue Pesanan sdh diterima dg baik dikemas rapi dan aman, sesuai pesanan proses order dan kirimnya cepat, terima kasih 🙏 0:04",ketan hitam tekstur lembut guna bahan dasar kue terima kemas rapi aman sesuai proses kirim cepat,11,1,Positif
Rasa: lwzat Tekstur: lembut Kegunaan: kueee enak qangiii lagii😭💗 jangan ragu oder gusyyyy 0:04 2 juhartiyah,lwzat tekstur lembut guna kueee enak qangiii lagi ragu oder gusyyyy juhartiyah,0,0,Negatif
Rasa: sangat enak khas beras hitam Tekstur: memiliki tekstur yang bagus dan warna yang sangat hitam Kegunaan: cocok untuk membuat bolu ketan hitam yang virall mantap 0:05 1 1 2 ... 4 5 6 7 8 ...,enak khas beras hitam tekstur milik tekstur bagus warna hitam guna cocok bolu ketan hitam virall bagus,7,1,Positif
"Packaging paketnya aman, pake bubble wrap. Seller ramah. Harga terjangkau. Belum dicoba buat bikin kue, semoga hasilnya bagus. Thanks kak 1 d*****t",packaging paket aman pakai bubble wrap jual ramah harga jangkau coba kue hasil bagus,20,1,Positif
"Belum dicoba, semoga bagus dibikin kuenya. Jumlah pesanan sesuai. 0:04 1 m*****3",coba bagus bikin kue sesuai,7,1,Positif
Cocok Untuk: bolu panggang dan bolu kukus Kualitas: sangat baik sekali ini beneran enak loh 😍 1 k*****a,cocok bolu panggang bolu kukus kualitas beneran enak,16,1,Positif
Rasa: enak Tekstur: memiliki tekstur yang bagus Kegunaan: untuk membuat kue Aku pake untuk jualan ketan hitam keju lumer dan hasilnya bagus next order lagi 🤗 semoga usahaku makin banyak yang beli amiinn..🥰🥰 0:08 1 k*****d,enak tekstur milik tekstur bagus guna kue pakai jual ketan hitam keju lembut hasil bagus usaha amiinn,12,1,Positif
Kualitas: belum dicoba Cocok Untuk: bolu ketan hitam Pengemasan dan pengiriman cepat sekali. Terimakasih seller. Semoga berkah. Aamiin 0:05 3 r*****h,kualitas coba cocok bolu ketan hitam emas kirim cepat terimakasih jual berkah,21,1,Positif
Pesanan lengkap.. Pengemasan baik.. Pengiriman standart.. Makasih ya.. 0:04 1 1 2 ... 5 6 7 8 9 ...,lengkap emas kirim standart,4,1,Positif
Pertama kali coba produk ini. Dikirim dan sampenya cepat. Mgkn lebih baik dilapis kardus atau bubble wrap supaya ga mudah kerobek. Ini ada yg kerobek sedikit jd kalo plastikny dilepas ada yg keluar2 bubuknya. Udh dipake hasilnya bagus 👍🏼 0:08 1 z*****6,coba kirim sampenya cepat mgkn lap kardus bubble wrap mudah kerobek kerobek jd kalo plastikny lepas bubuk dipake hasil bagus,4,1,Positif
Rasa: pas di lidah 😛 Tekstur: memiliki tekstur yang bagus Kegunaan: cocok untuk membuat kue yang lezat 0:04 1 dwiriy19,pas lidah tekstur milik tekstur bagus guna cocok kue lezat dwiriy,16,1,Positif
"Love sekebon bgt sm tepung ketan hitam ini! Warnanya cantik rasanya tepung ketan item bgtttt, Terimakasih ya Pk/bu telah menciptakan tepung ini😘🤗 0:11",love kebon sm tepung ketan hitam warna cantik tepung ketan bgtttt terimakasih pakai bu cipta tepung,8,1,Positif
Rasa: enak Tekstur: lembut Kegunaan: cocok untuk membuat kue bolu barang nya oke banget sesuai sama pesanan 0:17 1 tba.pku,enak tekstur lembut guna cocok kue bolu nya sesuai tba pku,13,1,Positif
"Rasa: enak setelah dibuat jadi kue Tekstur: halus Kegunaan: membuat aneka makanan Recommended, tepungnya halus 0:09",enak kue tekstur halus guna aneka makan rekomendasi tepung halus,10,1,Positif
Alhamdulillah barang sudah sampai dengan cepat dan amanah terima kasih kepada shoppee toko online nya juga buat jasa pengiriman barang nya yang super keren sukses terus buat semua nya yaaaaaaaaaaaaaaaaaa 0:04 1 1 2 ... 6 7 8 9 10 ...,cepat amanah shoppee toko online nya jasa kirim nya super bagus sukses nya yaaaaaaaaaaaaaaaaaa,22,1,Positif
Cocok Untuk: kue Kualitas: bagus Pengemasan rapi... pengiriman juga cepat..belum tau rasanya..Karna baru coba...KLO enak akan repeat order LG ..thx 1 m*****s,cocok kue kualitas bagus emas rapi kirim cepat tau coba enak,21,1,Positif
Rasa: lezat Tekstur: bagus Kegunaan: untuk adonan kue bolu Pack aging nya bagus shg kualitas produk nya terjaga 0:16 1 fitriaulya733,lezat tekstur bagus guna adon kue bolu pack aging nya bagus shg kualitas nya jaga fitriaulya,12,1,Positif
"Rasa: rasanya sangat lezat dan istimewa, memiliki tekstur yang lembut, cocok untuk membuat kue tepung ketan lumer yang lagi viral 0:22 1 juhartiyah",lezat istimewa milik tekstur lembut cocok kue tepung ketan lembut viral juhartiyah,10,1,Positif
Rasa: memiliki citarasa yang lezat Tekstur: memiliki tekstur yang bagus Kegunaan: cocok untuk membuat kue ketan hitam virall Mantap selalu beli di sini si 0:04 1 lilislisdaliawati,milik citarasa lezat tekstur milik tekstur bagus guna cocok kue ketan hitam virall bagus si lilislisdaliawati,12,1,Positif
"Kualitas: baik Cocok Untuk: bolu Kualitas baik, harga murah, pengemasan baik, pengiriman cepat, best seller 0:06 1 gitadp",kualitas cocok bolu kualitas harga murah emas kirim cepat best jual gitadp,24,1,Positif
Rasa: enak 100% tepung ketan hitam Kegunaan: bolu brownies dll Tekstur: lembut enak Baru sampai langsung eksekusi ternyata rasanya enak beneran tepung ketan hitam asli..makasih seller 1 1 2 ... 7 8 9 10 11 ...,enak tepung ketan hitam guna bolu brownies dll tekstur lembut enak langsung eksekusi enak beneran tepung ketan hitam asli jual,17,1,Positif
"terimakasih seller, barang diterima sesuai pesanan tadinya pilih tepung ini karena ada yang kasih penilaian bahwa enak tekstur tepung nya berpasir tapi ternyata setelah dicoba, bolunya tidak berpasir :( terimakasih expedisi, barang diterima dengan selamat 0:04",terimakasih jual terima sesuai pilih tepung enak tekstur tepung nya pasir coba bolu pasir terimakasih expedisi terima selamat,28,1,Positif
"Tekstur: lembut Rasa: ketan Rasakan: ketan Recommended. Produk bagus, original , kualitas nya bagus, harganya murah karena dpet voucher besar dari Shopee. Paling seneng war vouchee2 Shopee karena dpet hrga sangat murcee makasih 0:05",tekstur lembut ketan rasa ketan rekomendasi bagus original kualitas nya bagus harga murah dpet voucher neng war vouchee dpet hrga murcee,20,1,Positif
Pembelian kedua karena sebelumnya udah pernah beli dan rasa bolunya enak banget. Bahkan sampe temenku nanyain kapan bikin bolu ketan hitam lagi xixixi 0:07 1 e*****y,beli bolu enak sampe temenku nanyain bolu ketan hitam xixixi,3,1,Positif
"Rasa: Enak Tekstur: Lembut tidak berpasir Kegunaan: Cocok untuk membuat bolu ketan, warnanya hitam pekat Dikemas dengan aman jadi tidak takut bocor, lapisan 1 plastik bertuliskan warning fragile, lapisan 2 menggunakan bubble wrap, lapisan 3 menggunakan plastik bening. 2 d*****5",enak tekstur lembut pasir guna cocok bolu ketan warna hitam pekat kemas aman takut bocor lapis plastik tulis warning fragile lapis bubble wrap lapis plastik bening,2,1,Positif
Rasa: enak Tekstur: lembut Kegunaan: kue Pengiriman cepat packaging aman terimakasih seller kurir dan shopee 0:05,enak tekstur lembut guna kue kirim cepat packaging aman terimakasih jual,17,1,Positif
Rasa: baik Kegunaan: cocok buat kue Tekstur: lembut Tepung ketan hitam nya bagus pengemasan baik ekp Desember nanti 0:08 1 1 2 ... 8 9 10 11 12 ...,guna cocok kue tekstur lembut tepung ketan hitam nya bagus emas ekp desember,3,1,Positif
Rasa: Ketan hitam Tekstur: bagus Kegunaan: Buat kue Mantap ne sesuai rasanya jg enak trima kasih bnyk 0:05,ketan hitam tekstur bagus guna kue bagus ne sesuai enak trima bnyk,10,1,Positif
Rasa: enak Tekstur: seperti tekstur tepung ketan pada umumnya Kegunaan: cocok untuk bolu ketan hitam 0:04,enak tekstur tekstur tepung ketan guna cocok bolu ketan hitam,6,1,Positif
"Rasa: enak legit khas ketan hitam Tekstur: halus tapi butiran.a masih terasa karena mungkin di oven tepung.a Kegunaan: membuat cake Rasa.a enak legit, kenyal khas ketan hitam, warna.a juga cantik pekat, karena ini tepung full oven jadi walau dikukus butiran.a masih aga terasa tp ttp ok bukan yg berpasir gimana gitu 3 dwiriy19",enak legit khas ketan hitam tekstur halus butir oven tepung guna cake enak legit kenyal khas ketan hitam warna cantik pekat tepung full oven kukus butir aga ttp ok pasir gitu dwiriy,17,1,Positif
Rasa: kaya rasa dan legit Tekstur: lembuttt dan nyaman di mulut Kegunaan: cocok bust bolu ketan hitam bapak ibu Terimakasih yaaa udah ciptain ini 0:11,kaya legit tekstur lembuttt nyaman mulut guna cocok bust bolu ketan hitam terimakasih yaaa ciptain,15,1,Positif
"Maaf kelupaan baru memberikan ulasan. Barang keterima dalam keadaan baik, packingnya safety 0:16",maaf lupa ulas terima kemas safety,8,1,Positif
"Rasa: rasanya enak dan memuaskan Tekstur: memiliki textur yg bagus Kegunaan: cocok untuk membuat kue Barang cepet datang,  kemasannya bagus tidak ada yang bocor atau sobek, semoga kueku makin laris 0:05 1 1 2 ... 9 10 11 12 13 ...",enak muas tekstur milik textur bagus guna cocok kue cepet kemas bagus bocor sobek kue laris,18,1,Positif
"Rasa: enak,empuk,wangi ketan'y berasa.pertahankan kualitas ya kak. Orderan yg ke dua, order 3pc tp dikirim 2pc. Tp alhamdulillah seller'y gercep lngsung refund kekurangan'y.. Mkasih byk ya kak,semoga slalu dilancarkan usaha'y....aamiin 1 r*****y",enak empuk wangi ketan asa tahan kualitas order pc kirim pc jual cepat lngsung refund kurang byk slalu lancar usaha,28,1,Positif
"Packingaan rapi, produk aman sampai tujuan. Dapet harga promo 8 8. Kali pertama beli  semoga enak rasanya. Terima kasih seller 0:30",packingaan rapi aman tuju dapet harga promo enak jual,20,1,Positif
"Rasa: pas Tekstur: lembut Kegunaan: untuk bahan kue makasih tepung ketan ny sudah smp, kualitas bagus ..hrg terjangkau .. pengiriman cepat packing rapi.. makasih reseller👍🏻 0:07",pas tekstur lembut guna bahan kue tepung ketan ny smp kualitas bagus hrg jangkau kirim cepat kemas rapi reseller,18,1,Positif
"Rasa: enak bgt legit Tekstur: teksturnya ringan Kegunaan: cocok untuk bolu ketan hitam🥰💸 Aku suka bgt sama warnanya, warnanya tuh dapet bgt💕",enak legit tekstur tekstur ringan guna cocok bolu ketan hitam suka warna warna tuh dapet,17,1,Positif
Rasa: baru mau coba semoga enak Tekstur: sangat lembut Kegunaan: cocok untuk membuat berbagai macam kue 0:04,coba enak tekstur lembut guna cocok kue,12,1,Positif
Ke 2x nya beli tepung ketan disini. Tepungnya lembut harum dan tidak masir di bolunya. Pokoknya enak. 1 1 2 ... 10 11 12 13 14 ...,nya tepung ketan tepung lembut harum masir bolu pokok enak,13,1,Positif
Rasa: belum dicoba semoga enak Tekstur: memiliki tekstur yang halus Kegunaan: cocok untuk membuat kue belum dicoba semoga enak dan kadaluarsa nya juga masih jauh 1 tahun 0:08 1 m*****9,coba enak tekstur milik tekstur halus guna cocok kue coba enak kadaluarsa nya,20,1,Positif
"Cocok Untuk: bahan kue Kualitas: bagus Alhamdulillah paket sampai dengan selamat,,, packing nya pun aman terimakasih 0:07 1 a*****2",cocok bahan kue kualitas bagus selamat kemas nya aman terimakasih,20,1,Positif
"Rasa: enak Tekstur: tekstur khas tepung ketan hitam, kres kres Kegunaan: untuk membuat bolu kukus Saran aja kalo bisa bubble wrapnya jangan cuma selapis (atau dilapis kardus disalah satu atau dua sisinya) kena cutter dikit auto ambyar kemasan plastiknya makasih 🙏 0:07 1 laras.trisnanti",enak tekstur tekstur khas tepung ketan hitam kres kres guna bolu kukus saran kalo bubble wrapnya selap lap kardus salah sisi kena cutter dikit auto ambyar kemas plastik laras trisnanti,-8,0,Negatif
"Dibikin bolu jd bagus. Lembut, ngembang sempurna. Menul² banget gais... Dukung UMKM🥰 2 ikketheaa | Langganan",bikin bolu jd bagus lembut ngembang sempurna menul gais dukung umkm ikketheaa langgan,11,1,Positif
Paketnya sampai mksih seller dan kurir🙂 0:07 1 ucial_07,paket mksih jual ucial,5,1,Positif
Rasa: enakk dan puass Tekstur: haluss tidak kasar Kegunaan: cocok bangett buat boluu Orderr ke2× nya😍😍 1 1 2 ... 11 12 13 14 15 ...,enak puass tekstur haluss kasar guna cocok bangett boluu orderr nya,8,1,Positif
Paketnya sampai mksih seller dan kurir🙂 0:07 1,paket mksih jual,5,1,Positif
"Rasa: tawar Tekstur: lembut Kegunaan: untuk kue bolu Kemasan aman , dr segi harga juga muraj dibanding yg lain , pengiriman cepat dan kwalitas ok 0:09 1 m*****3",tawar tekstur lembut guna kue bolu kemas aman segi harga muraj banding kirim cepat kwalitas ok,11,1,Positif
Cocok Untuk: bolu kukus dan bolu panggang Kualitas: sangat baik sekali 1 r.andini.p,cocok bolu kukus bolu panggang kualitas andini,10,1,Positif
"Cocok Untuk: kue bolu Barang sampai dgn aman ga, nyru tepung ketan hitam susah bgt pada mahal2 dsni masih agak terjangkau 0:07 1 juhartiyah",cocok kue bolu aman nyru tepung ketan hitam susah mahal dsni jangkau juhartiyah,-2,0,Negatif
Cocok Untuk: buat kue ketan hitam viral Kualitas: sangat bagus warnanya sangat hitam bagus banget buat bikin bolu ketan hitam viral 0:04 1 dwiriy19,cocok kue ketan hitam viral kualitas bagus warna hitam bagus bolu ketan hitam viral dwiriy,0,0,Negatif
Ini ketan terbaik bener deh aku suka banget cocok buat bolu aku sukaaa 0:04,ketan baik bener suka cocok bolu sukaaa,13,1,Positif
Rasa: pas Tekstur: halus Kegunaan: cocok tuk bikin kueh 0:10 1 1 2 ... 12 13 14 15 16 ...,pas tekstur halus guna cocok kueh,8,1,Positif
Rasa: pas di lidah dan tidak terlalu manis Tekstur: memiliki tekstur yang bagus Kegunaan: cocok untuk membuat kue yg lezat 0:28,pas lidah manis tekstur milik tekstur bagus guna cocok kue lezat,21,1,Positif
"Rasa: enak Tekstur: lembut Kegunaan: cocok untuk dibuat kue Alhamdulillah pesanannya sudah sampai,barangnya sesuai pesanan,cocok untuk dibuat bolu ketan 0:06",enak tekstur lembut guna cocok kue pesan barang sesuai cocok bolu ketan,19,1,Positif
Rasa: tepung ketan hitam untuk bikin kue belum di coba semoga enak kue nya sesuai selers 0:04,tepung ketan hitam kue coba enak kue nya sesuai selers,6,1,Positif
"Produk seperti diskripsi, peoduk tdk rusak saya terima. Terima kasih 1 yellysany",skripsi peoduk tdk rusak yellysany,3,1,Positif
Rasa: ketan hitam Tekstur: bubuk Kegunaan: bikin bolu Sudah chat admin minta dikirim pakai dus takutnya pecah atau sobek tapi ternyata dikirim ga pakai dus untungnya aman ga DA yg bocor 0:14 1 nabilaazra_11,ketan hitam tekstur bubuk guna bolu chat admin kirim pakai dus takut pecah sobek kirim pakai dus untung aman da bocor nabilaazra,-4,0,Negatif
"Rasa: memuaskan enakk Kegunaan: cocok untuk bolu Tekstur: lembut, tidak terlalu berpasir Penjual responsif, barang juga cepat sampai, rasanya enak, teksturnya bagus 2 1 2 ... 13 14 15 16 17 ...",muas enak guna cocok bolu tekstur lembut pasir jual responsif cepat enak tekstur bagus,26,1,Positif
Cocok Untuk: makanan Kualitas: ok Alhamdulillah sudah sampai pesanan saya. Anak saya suka sekali. Bagus sekali. Barakallah. Recomended seller. 0:06 1 w*****g,cocok makan kualitas ok anak suka bagus barakallah recomended jual,16,1,Positif
